"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"1.6666666666666667","0.0","0.6","0.0","1","2","false","AOC3","3.0","0","1","0","0.7777777777777777","false","0","AOC3","0","0.0"
"1.0","1.0","1.0","0.0","3","1","false","MAOA","1.0","0","3","0","1.0","false","0","MAOA","6","0.0"
"2.404255319148936","0.07890861579575735","0.415929203539823","0.26666666666666666","6","5","false","AR","6.833333333333333","0","6","0","0.9122340425531915","false","0","AR","574","0.25308641975308643"
"2.404255319148936","0.03079064526798107","0.415929203539823","0.3333333333333333","6","4","false","CREBBP","8.166666666666666","0","6","0","0.9122340425531915","false","0","CREBBP","228","0.32666666666666666"
"2.9361702127659575","3.85445575084798E-4","0.34057971014492755","0.6666666666666666","3","5","false","BRD4","6.0","0","3","0","0.8789893617021276","false","0","BRD4","4","0.5454545454545454"
"1.9361702127659575","0.32474545959744844","0.5164835164835164","0.16666666666666666","16","5","false","EGFR","6.625","0","16","0","0.9414893617021276","false","0","EGFR","2040","0.17905405405405406"
"2.3191489361702127","0.1015527950310559","0.43119266055045874","0.3333333333333333","6","5","false","PGR","7.833333333333333","0","6","0","0.9175531914893618","false","0","PGR","700","0.25268817204301075"
"2.9361702127659575","0.05866151270869124","0.34057971014492755","0.4","5","5","false","NR3C2","5.4","0","5","0","0.8789893617021276","false","0","NR3C2","428","0.38571428571428573"
"2.9361702127659575","0.05866151270869125","0.34057971014492755","0.4","5","5","false","CYP19A1","5.4","0","5","0","0.8789893617021276","false","0","CYP19A1","428","0.38571428571428573"
"3.4468085106382977","0.0425531914893617","0.29012345679012347","0.0","2","5","false","ATP12A","2.5","0","2","0","0.8470744680851063","false","0","ATP12A","208","0.5"
"2.5106382978723403","0.14558169243645655","0.39830508474576276","0.16666666666666666","4","4","false","ATP1A1","8.25","0","4","0","0.9055851063829787","false","0","ATP1A1","838","0.3522727272727273"
"4.425531914893617","0.0","0.22596153846153846","0.0","1","6","false","CA2","2.0","0","1","0","0.7859042553191489","false","0","CA2","0","0.0"
"2.0425531914893615","0.1272736231801912","0.48958333333333337","0.2727272727272727","12","3","false","MAPK1","6.833333333333333","0","12","0","0.9348404255319149","false","0","MAPK1","802","0.20707070707070707"
"2.0425531914893615","0.12376595036169508","0.48958333333333337","0.22727272727272727","12","3","false","MAPK3","6.833333333333333","0","12","0","0.9348404255319149","false","0","MAPK3","856","0.20707070707070707"
"3.106382978723404","0.06062288004933703","0.3219178082191781","0.38095238095238093","7","5","false","CYP11B2","4.285714285714286","0","7","0","0.8683510638297872","false","0","CYP11B2","358","0.37662337662337664"
"2.297872340425532","0.05207876972446816","0.4351851851851851","0.2","6","4","false","PARP1","8.333333333333334","0","6","0","0.9188829787234043","false","0","PARP1","372","0.28160919540229884"
"4.297872340425532","0.0","0.23267326732673266","0.0","1","6","false","C5AR1","3.0","0","1","0","0.7938829787234043","false","0","C5AR1","0","0.0"
"3.3191489361702127","0.0425531914893617","0.30128205128205127","0.3333333333333333","3","5","false","CCR5","5.0","0","3","0","0.8550531914893618","false","0","CCR5","326","0.5185185185185185"
"2.6382978723404253","0.021697282058059115","0.3790322580645162","0.7","5","5","false","JAK3","7.8","0","5","0","0.8976063829787234","false","0","JAK3","192","0.37142857142857144"
"2.404255319148936","0.07061035377409106","0.415929203539823","0.4166666666666667","9","4","false","JAK2","7.777777777777778","0","9","0","0.9122340425531915","false","0","JAK2","550","0.3111111111111111"
"3.3191489361702127","0.0010161746979508311","0.30128205128205127","0.8","5","6","false","CDC25A","5.8","0","5","0","0.8550531914893618","false","0","CDC25A","12","0.58"
"2.893617021276596","0.007858094213320857","0.34558823529411764","0.7","5","5","false","CDC25B","7.0","0","5","0","0.8816489361702128","false","0","CDC25B","100","0.4666666666666667"
"3.404255319148936","0.0","0.29375","1.0","3","6","false","CDC7","6.666666666666667","0","3","0","0.8497340425531915","false","0","CDC7","0","0.7407407407407407"
"2.5531914893617023","0.02561935700233573","0.39166666666666666","0.6","6","5","false","CDC25C","8.333333333333334","0","6","0","0.9029255319148937","false","0","CDC25C","278","0.3333333333333333"
"2.5319148936170213","0.09022309533410364","0.3949579831932773","0.35714285714285715","8","5","false","CDK1","6.375","0","8","0","0.9042553191489362","false","0","CDK1","572","0.2717391304347826"
"2.978723404255319","0.025634433405016206","0.33571428571428574","0.42857142857142855","7","5","false","CHEK1","5.0","0","7","0","0.8763297872340425","false","0","CHEK1","152","0.37362637362637363"
"2.1914893617021276","0.077384271602588","0.4563106796116505","0.3055555555555556","9","4","false","MAPK14","8.555555555555555","0","9","0","0.925531914893617","false","0","MAPK14","584","0.27598566308243727"
"2.3404255319148937","0.04098844931407373","0.42727272727272725","0.3333333333333333","7","4","false","MAP2K1","9.428571428571429","0","7","0","0.9162234042553191","false","0","MAP2K1","316","0.32019704433497537"
"3.425531914893617","0.0","0.2919254658385093","1.0","2","6","false","TYMS","7.5","0","2","0","0.8484042553191489","false","0","TYMS","0","0.8333333333333334"
"1.0","0.0","1.0","0.0","1","1","false","CHRM3","1.0","0","1","0","1.0","false","0","CHRM3","0","0.0"
"1.0","0.0","1.0","0.0","1","1","false","CHRM5","1.0","0","1","0","1.0","false","0","CHRM5","0","0.0"
"2.276595744680851","0.11248391602230642","0.4392523364485981","0.2","10","4","false","PPARG","6.7","0","10","0","0.9202127659574468","false","0","PPARG","658","0.23214285714285715"
"3.6382978723404253","0.0018501387604070306","0.2748538011695907","0.6","5","6","false","CYP11B1","4.6","0","5","0","0.8351063829787234","false","0","CYP11B1","8","0.5111111111111111"
"3.6808510638297873","0.0","0.27167630057803466","1.0","3","6","false","HSD17B2","5.666666666666667","0","3","0","0.8324468085106382","false","0","HSD17B2","0","0.6296296296296297"
"3.6595744680851063","3.083564600678384E-4","0.27325581395348836","0.8333333333333334","4","6","false","HSD11B1","5.25","0","4","0","0.8337765957446809","false","0","HSD11B1","2","0.5833333333333334"
"3.6595744680851063","3.083564600678384E-4","0.27325581395348836","0.8333333333333334","4","6","false","HSD11B2","5.25","0","4","0","0.8337765957446809","false","0","HSD11B2","2","0.5833333333333334"
"3.1914893617021276","0.0425531914893617","0.31333333333333335","0.0","2","5","false","CYP2C9","5.5","0","2","0","0.863031914893617","false","0","CYP2C9","216","0.5"
"2.25531914893617","0.13956959373240596","0.44339622641509435","0.26666666666666666","10","4","false","PTGS2","7.5","0","10","0","0.9215425531914894","false","0","PTGS2","922","0.24666666666666667"
"4.170212765957447","0.0","0.23979591836734693","0.0","1","6","false","EPHX2","2.0","0","1","0","0.8018617021276595","false","0","EPHX2","0","0.0"
"1.6666666666666667","0.0","0.6","0.0","1","2","false","DRD4","3.0","0","1","0","0.7777777777777777","false","0","DRD4","0","0.0"
"2.702127659574468","0.00703097909388381","0.3700787401574803","0.5","4","5","false","MMP3","7.75","0","4","0","0.8936170212765957","false","0","MMP3","78","0.3875"
"2.6382978723404253","0.0020762668311234446","0.3790322580645162","0.6","6","5","false","TYK2","7.666666666666667","0","6","0","0.8976063829787234","false","0","TYK2","16","0.38333333333333336"
"2.3617021276595747","0.05893945708931831","0.4234234234234234","0.3333333333333333","7","4","false","MMP9","8.0","0","7","0","0.9148936170212766","false","0","MMP9","346","0.28061224489795916"
"2.4680851063829787","0.0070753406322323995","0.4051724137931034","0.4","5","4","false","PRKCA","10.8","0","5","0","0.9082446808510638","false","0","PRKCA","68","0.4"
"2.5106382978723403","0.0038840206971566824","0.39830508474576276","0.7","5","4","false","JAK1","9.6","0","5","0","0.9055851063829787","false","0","JAK1","40","0.4"
"2.5531914893617023","0.0014171690166139752","0.39166666666666666","0.6666666666666666","4","4","false","PTPN1","10.75","0","4","0","0.9029255319148937","false","0","PTPN1","22","0.4673913043478261"
"3.0851063829787235","0.0","0.32413793103448274","1.0","2","5","false","HMOX1","10.0","0","2","0","0.8696808510638298","false","0","HMOX1","0","0.6666666666666666"
"1.6666666666666667","0.0","0.6","0.0","1","2","false","IDO1","3.0","0","1","0","0.7777777777777777","false","0","IDO1","0","0.0"
"1.0","0.0","1.0","0.0","1","1","false","KCNH2","1.0","0","1","0","1.0","false","0","KCNH2","0","0.0"
"1.0","0.0","1.0","0.0","1","1","false","SIGMAR1","1.0","0","1","0","1.0","false","0","SIGMAR1","0","0.0"
"3.25531914893617","0.0","0.30718954248366015","0.0","1","5","false","LIPE","10.0","0","1","0","0.8590425531914894","false","0","LIPE","0","0.0"
"2.851063829787234","0.0","0.35074626865671643","1.0","2","4","false","PLA2G1B","11.0","0","2","0","0.8843085106382979","false","0","PLA2G1B","0","0.6470588235294118"
"2.723404255319149","0.0","0.3671875","1.0","3","4","false","RPS6KA5","11.0","0","3","0","0.8922872340425532","false","0","RPS6KA5","0","0.5789473684210527"
"3.127659574468085","0.0013105149552883131","0.3197278911564626","0.6666666666666666","3","5","false","MMP1","7.0","0","3","0","0.8670212765957447","false","0","MMP1","10","0.5384615384615384"
"3.3404255319148937","0.0","0.29936305732484075","0.0","1","5","false","MPO","7.0","0","1","0","0.8537234042553191","false","0","MPO","0","0.0"
"1.0","0.0","1.0","0.0","1","1","false","PDE10A","1.0","0","1","0","1.0","false","0","PDE10A","0","0.0"
"1.0","0.0","1.0","0.0","1","1","false","PDE7A","1.0","0","1","0","1.0","false","0","PDE7A","0","0.0"
"3.25531914893617","0.0","0.30718954248366015","0.0","1","5","false","PER2","10.0","0","1","0","0.8590425531914894","false","0","PER2","0","0.0"
"1.0","0.0","1.0","0.0","1","1","false","RASGRP1","1.0","0","1","0","1.0","false","0","RASGRP1","0","0.0"
"1.0","0.0","1.0","0.0","1","1","false","RASGRP3","1.0","0","1","0","1.0","false","0","RASGRP3","0","0.0"
"1.0","0.0","1.0","0.0","1","1","false","TRPA1","1.0","0","1","0","1.0","false","0","TRPA1","0","0.0"
"1.0","0.0","1.0","0.0","1","1","false","TRPV3","1.0","0","1","0","1.0","false","0","TRPV3","0","0.0"
