ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title
A_23_P123503,2.55E-02,2.75E-03,3.23,-1.989346,1.6,TRIB1,tribbles pseudokinase 1
A_23_P1602,2.55E-02,2.76E-03,3.23,-1.989906,1.25,CDC42EP2,CDC42 effector protein 2
A_23_P64102,2.56E-02,2.76E-03,3.23,-1.990988,1.14,RIN1,Ras and Rab interactor 1
A_23_P206901,2.56E-02,2.76E-03,3.23,-1.991277,6.85E-01,NDE1,nudE neurodevelopment protein 1
A_23_P218685,2.56E-02,2.76E-03,3.23,-1.991368,9.94E-01,UBE2V1,ubiquitin conjugating enzyme E2 V1
A_23_P64712,2.56E-02,2.76E-03,3.23,-1.992194,1.37,TCTN2,tectonic family member 2
A_32_P118578,2.56E-02,2.76E-03,3.23,-1.992346,1.04,,
A_23_P85460,2.56E-02,2.76E-03,-3.23,-1.992718,-9.19E-01,CDKN2C,cyclin dependent kinase inhibitor 2C
A_23_P52207,2.56E-02,2.77E-03,-3.23,-1.993188,-2.15,BAMBI,BMP and activin membrane bound inhibitor
A_23_P209426,2.56E-02,2.77E-03,-3.23,-1.993351,-9.51E-01,TRAK2,trafficking kinesin protein 2
A_23_P393080,2.56E-02,2.77E-03,-3.23,-1.99473,-1.22,CALML3,calmodulin like 3
A_23_P359854,2.56E-02,2.77E-03,3.23,-1.995299,7.51E-01,BEND3,BEN domain containing 3
A_32_P227400,2.56E-02,2.77E-03,3.23,-1.995424,1.03,,
A_24_P166645,2.56E-02,2.77E-03,-3.22,-1.99593,-1.38,REPIN1,replication initiator 1
A_24_P406006,2.56E-02,2.78E-03,3.22,-1.996444,1.62,LPCAT1,lysophosphatidylcholine acyltransferase 1
A_24_P59632,2.57E-02,2.79E-03,-3.22,-2.000293,-1.69,LOC728613,programmed cell death 6 pseudogene
A_23_P70318,2.58E-02,2.79E-03,-3.22,-2.00185,-1.58,ENPP4,ectonucleotide pyrophosphatase/phosphodiesterase 4 (putative)
A_23_P306203,2.58E-02,2.80E-03,3.22,-2.002979,2.26,SAA2,serum amyloid A2
A_23_P318300,2.58E-02,2.80E-03,3.22,-2.003457,9.48E-01,ZAK,sterile alpha motif and leucine zipper containing kinase AZK
A_23_P390209,2.58E-02,2.80E-03,-3.22,-2.00366,-2.61,,
A_32_P195255,2.58E-02,2.80E-03,3.22,-2.003903,1.29,,
A_23_P210726,2.58E-02,2.80E-03,3.22,-2.004576,1.63,CDC25B,cell division cycle 25B
A_23_P45712,2.58E-02,2.80E-03,3.22,-2.004628,8.75E-01,,
A_23_P94030,2.58E-02,2.80E-03,3.22,-2.00464,1.05,LAMB1,laminin subunit beta 1
A_32_P209770,2.59E-02,2.81E-03,-3.22,-2.006782,-1.58,,
A_24_P125434,2.59E-02,2.81E-03,3.22,-2.007306,1.56,TXNDC2,thioredoxin domain containing 2
A_23_P202156,2.59E-02,2.81E-03,3.22,-2.008301,1.04,NFKB2,nuclear factor kappa B subunit 2
A_23_P100754,2.59E-02,2.81E-03,3.22,-2.008493,1.06,SMURF2,SMAD specific E3 ubiquitin protein ligase 2
A_23_P50517,2.59E-02,2.81E-03,-3.22,-2.008581,-1.3,,
A_24_P260582,2.59E-02,2.82E-03,-3.22,-2.010334,-1.01,TRIM52,tripartite motif containing 52
A_24_P938006,2.59E-02,2.82E-03,-3.22,-2.010923,-1.26,,
A_32_P4700,2.59E-02,2.82E-03,-3.22,-2.01115,-1.72,,
A_24_P688133,2.60E-02,2.82E-03,-3.22,-2.011999,-8.84E-01,PPM1A,"protein phosphatase, Mg2+/Mn2+ dependent 1A"
A_32_P143245,2.60E-02,2.83E-03,3.22,-2.012943,1.24,CENPW,centromere protein W
