ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title
A_23_P133474,1.10E-13,2.69E-18,-1.71E+01,30.369927,-5.85,GPX3,glutathione peroxidase 3
A_23_P129133,2.69E-12,1.31E-16,-1.50E+01,26.960267,-6.63,OCA2,OCA2 melanosomal transmembrane protein
A_23_P61498,4.22E-12,3.08E-16,-1.46E+01,26.198024,-1.17E+01,KRT76,keratin 76
A_32_P194062,1.13E-11,1.10E-15,-1.40E+01,25.050272,-7.33,TYR,tyrosinase
A_23_P312851,2.17E-11,2.65E-15,-1.36E+01,24.257429,-5.13,PMEL,premelanosome protein
A_23_P363275,2.90E-11,4.25E-15,1.33E+01,23.827079,3.08,WDR66,WD repeat domain 66
A_23_P166269,3.18E-11,5.43E-15,-1.32E+01,23.603554,-7.93,FAM3B,family with sequence similarity 3 member B
A_24_P174353,7.15E-11,1.40E-14,-1.28E+01,22.739529,-6.27,,
A_23_P41789,9.01E-11,1.98E-14,-1.26E+01,22.41894,-5.51,SLC27A6,solute carrier family 27 member 6
A_23_P213832,1.91E-10,4.65E-14,-1.23E+01,21.631501,-4.45,SPINK7,"serine peptidase inhibitor, Kazal type 7 (putative)"
A_32_P165047,8.88E-10,2.38E-13,-1.16E+01,20.11573,-4.73,,
A_23_P355295,1.42E-09,4.15E-13,-1.13E+01,19.597115,-6.52,FMO2,flavin containing monooxygenase 2
A_23_P25150,1.49E-09,4.71E-13,1.13E+01,19.47929,5.67,HOXC9,homeobox C9
A_23_P35755,1.93E-09,6.59E-13,-1.11E+01,19.165109,-6.79,TYR,tyrosinase
A_23_P301942,2.17E-09,7.92E-13,-1.11E+01,18.99295,-4.98,NPPC,natriuretic peptide C
A_23_P2233,3.19E-09,1.25E-12,-1.09E+01,18.568581,-3.59,PMEL,premelanosome protein
A_23_P157338,3.97E-09,1.65E-12,-1.08E+01,18.306608,-4.95,VWC2,von Willebrand factor C domain containing 2
A_23_P431971,7.15E-09,3.14E-12,-1.05E+01,17.700568,-4.68,CRTAC1,cartilage acidic protein 1
A_24_P63178,1.93E-08,8.94E-12,-1.01E+01,16.713154,-4.9,CHL1,cell adhesion molecule L1 like
A_23_P91970,1.93E-08,9.79E-12,-1.00E+01,16.627233,-7.04,AADACL2,arylacetamide deacetylase like 2
A_32_P859499,1.93E-08,9.90E-12,-1.00E+01,16.616761,-4.5,HCG22,HLA complex group 22
A_23_P94403,2.34E-08,1.26E-11,-9.95,16.390043,-7.66,TYRP1,tyrosinase related protein 1
A_23_P116902,2.39E-08,1.44E-11,-9.9,16.26442,-5.89,ART4,ADP-ribosyltransferase 4 (Dombrock blood group)
A_23_P58228,2.39E-08,1.55E-11,-9.87,16.193211,-8.76,ODAM,"odontogenic, ameloblast asssociated"
A_24_P522786,2.39E-08,1.55E-11,-9.87,16.192526,-4.52,LOC441178,uncharacterized LOC441178
A_23_P81190,2.39E-08,1.57E-11,-9.87,16.178367,-9.73,TMPRSS11B,"transmembrane protease, serine 11B"
A_23_P119593,2.39E-08,1.58E-11,-9.86,16.176914,-3.44,EPHX3,epoxide hydrolase 3
A_23_P430948,2.42E-08,1.65E-11,-9.85,16.130867,-4.44,ATP13A4,ATPase 13A4
A_23_P212241,2.43E-08,1.72E-11,-9.83,16.0958,-5.57,CHL1,cell adhesion molecule L1 like
A_23_P215744,2.45E-08,1.90E-11,-9.79,16.000604,-6.05,CTTNBP2,cortactin binding protein 2
A_23_P80570,2.45E-08,1.95E-11,-9.78,15.975212,-5.24,AADAC,arylacetamide deacetylase
A_23_P10902,2.45E-08,1.96E-11,-9.78,15.969792,-5.09,FRZB,frizzled-related protein
A_23_P122924,2.45E-08,1.97E-11,9.78,15.964119,4.93,INHBA,inhibin beta A subunit
A_23_P1691,2.71E-08,2.25E-11,9.73,15.840912,5.12,MMP1,matrix metallopeptidase 1
A_23_P33573,3.79E-08,3.24E-11,-9.59,15.493495,-5.43,KRT3,keratin 3
A_32_P229618,4.59E-08,4.03E-11,-9.51,15.286558,-5.1,DLG2,discs large MAGUK scaffold protein 2
A_23_P89981,4.69E-08,4.24E-11,-9.49,15.238447,-5.87,CYP2F1,cytochrome P450 family 2 subfamily F member 1
A_23_P17134,5.02E-08,4.66E-11,-9.45,15.148734,-8.8,MAL,"mal, T-cell differentiation protein"
A_23_P124514,5.76E-08,5.48E-11,-9.39,14.994376,-4.01,DLG2,discs large MAGUK scaffold protein 2
A_23_P63534,6.85E-08,6.68E-11,9.31,14.805434,2.45,XPR1,xenotropic and polytropic retrovirus receptor 1
A_23_P363778,7.94E-08,8.03E-11,-9.24,14.629899,-4.93,FRZB,frizzled-related protein
A_24_P62800,7.94E-08,8.13E-11,-9.24,14.618007,-4.79,KLHDC8A,kelch domain containing 8A
A_24_P224488,9.07E-08,9.51E-11,-9.18,14.468838,-5.97,MAPT,microtubule associated protein tau
A_23_P51787,1.18E-07,1.27E-10,-9.07,14.192116,-4.78,AMPD1,adenosine monophosphate deaminase 1
A_32_P98914,1.21E-07,1.32E-10,-9.06,14.154128,-2.51,,
A_23_P312505,1.21E-07,1.36E-10,-9.05,14.128632,-4.82,TYR,tyrosinase
A_23_P82990,1.27E-07,1.45E-10,-9.02,14.066722,-5.89,OGN,osteoglycin
A_23_P302672,1.40E-07,1.64E-10,-8.98,13.952448,-5.48,DDIT4L,DNA damage inducible transcript 4 like
A_23_P373119,1.53E-07,1.85E-10,8.93,13.834802,2.56,HMGB3P1,high mobility group box 3 pseudogene 1
A_23_P29394,1.53E-07,1.86E-10,-8.93,13.827778,-4.63,ATP13A4,ATPase 13A4
A_23_P118615,1.53E-07,1.90E-10,-8.93,13.810531,-4.74,ABCA8,ATP binding cassette subfamily A member 8
A_23_P430728,1.55E-07,1.96E-10,-8.91,13.777603,-4.63,ATP4A,ATPase H+/K+ transporting alpha subunit
A_32_P80809,2.04E-07,2.64E-10,-8.8,13.495403,-2.78,,
A_24_P643776,2.37E-07,3.12E-10,-8.74,13.335775,-4.29,,
A_23_P107735,2.38E-07,3.20E-10,-8.73,13.312682,-3.82,CD79A,CD79a molecule
A_23_P53137,2.58E-07,3.52E-10,-8.7,13.219137,-6.3,HBG1,hemoglobin subunit gamma 1
A_23_P45185,2.59E-07,3.60E-10,-8.69,13.198525,-5.4,FIGF,c-fos induced growth factor
A_23_P22013,2.75E-07,3.89E-10,-8.66,13.125313,-5.75,RSPO1,R-spondin 1
A_23_P111804,3.13E-07,4.58E-10,8.6,12.969281,2.54,PARP12,poly(ADP-ribose) polymerase family member 12
A_23_P114862,3.13E-07,4.58E-10,-8.6,12.967889,-4.46,ANGPTL7,angiopoietin like 7
A_23_P24104,3.43E-07,5.10E-10,8.56,12.866377,2.98,PLAU,"plasminogen activator, urokinase"
A_23_P5092,3.58E-07,5.41E-10,-8.54,12.809735,-4.7,FUT6,fucosyltransferase 6
A_23_P43350,3.58E-07,5.61E-10,-8.53,12.773687,-5.65,MLANA,melan-A
A_23_P252292,3.58E-07,5.64E-10,8.53,12.769575,3.03,CENPI,centromere protein I
A_23_P152791,3.58E-07,5.71E-10,-8.52,12.758355,-3.64,SLC16A6,solute carrier family 16 member 6
A_24_P101282,3.58E-07,5.76E-10,8.52,12.748599,3.39,HOTAIRM1,"HOXA transcript antisense RNA, myeloid-specific 1"
A_23_P109026,3.76E-07,6.17E-10,-8.49,12.68385,-2.51,KCNK15,potassium two pore domain channel subfamily K member 15
A_24_P247987,3.76E-07,6.23E-10,8.49,12.673654,2.88,USB1,U6 snRNA biogenesis phosphodiesterase 1
A_23_P110531,4.70E-07,7.95E-10,8.4,12.440371,4.23,FST,follistatin
A_24_P302172,4.70E-07,8.04E-10,-8.4,12.430014,-4.15,PTGFR,prostaglandin F receptor
A_24_P330234,4.70E-07,8.14E-10,-8.39,12.417737,-2.09,UBL3,ubiquitin like 3
A_24_P260122,5.00E-07,8.79E-10,8.37,12.344784,2.89,PHLDB2,pleckstrin homology like domain family B member 2
A_23_P359245,5.18E-07,9.22E-10,8.35,12.299171,2.42,MET,"MET proto-oncogene, receptor tyrosine kinase"
A_24_P24685,5.70E-07,1.03E-09,8.31,12.193872,2.76,,
A_23_P326760,5.78E-07,1.06E-09,-8.3,12.168403,-5.25,MYRIP,myosin VIIA and Rab interacting protein
A_24_P535256,6.36E-07,1.18E-09,8.26,12.062963,4.5,INHBA,inhibin beta A subunit
A_32_P139391,6.41E-07,1.20E-09,-8.25,12.042754,-3.82,LOC100506098,uncharacterized LOC100506098
A_24_P40551,7.87E-07,1.50E-09,-8.18,11.833661,-3.78,BEX4,brain expressed X-linked 4
A_23_P100386,8.23E-07,1.59E-09,-8.16,11.778614,-2.97,IL34,interleukin 34
A_32_P31144,8.75E-07,1.73E-09,-8.12,11.696525,-3.6,,
A_24_P686965,8.75E-07,1.73E-09,8.12,11.693186,4.82,SH2D5,SH2 domain containing 5
A_23_P70297,8.75E-07,1.75E-09,-8.12,11.684721,-4.35,ANKRD6,ankyrin repeat domain 6
A_23_P253738,9.47E-07,1.92E-09,-8.09,11.596634,-3.22,CLN8,"ceroid-lipofuscinosis, neuronal 8"
A_23_P94397,9.55E-07,1.96E-09,-8.08,11.577901,-4.67,OMD,osteomodulin
A_23_P69154,9.67E-07,2.01E-09,-8.07,11.553704,-3.89,FAM198A,family with sequence similarity 198 member A
A_24_P731648,1.01E-06,2.13E-09,-8.05,11.497019,-3.49,SLC16A6,solute carrier family 16 member 6
A_24_P243633,1.04E-06,2.21E-09,8.04,11.461921,2.21,DCBLD1,"discoidin, CUB and LCCL domain containing 1"
A_23_P146554,1.31E-06,2.84E-09,-7.95,11.220391,-4.51,PTGDS,prostaglandin D2 synthase
A_32_P111254,1.31E-06,2.88E-09,-7.94,11.206596,-3.93,,
A_24_P115762,1.31E-06,2.88E-09,7.94,11.205796,2.98,CTSC,cathepsin C
A_23_P153676,1.38E-06,3.07E-09,-7.92,11.144141,-2.78,TLE2,transducin like enhancer of split 2
A_24_P52887,1.38E-06,3.10E-09,-7.92,11.134587,-5.56,ENDOU,"endonuclease, poly(U) specific"
A_24_P16004,1.44E-06,3.26E-09,-7.9,11.086598,-5.2,,
A_32_P119830,1.47E-06,3.36E-09,-7.89,11.057065,-3.71,PEG3-AS1,PEG3 antisense RNA 1
A_32_P101379,1.48E-06,3.43E-09,-7.88,11.038156,-3.56,TMEM132B,transmembrane protein 132B
A_23_P55682,1.58E-06,3.74E-09,-7.85,10.955626,-3.49,ZSCAN18,zinc finger and SCAN domain containing 18
A_23_P42397,1.58E-06,3.74E-09,-7.85,10.95489,-4.07,PRSS35,"protease, serine 35"
A_32_P217471,1.65E-06,4.00E-09,7.83,10.890399,2.56,MYO1B,myosin IB
A_23_P35414,1.65E-06,4.02E-09,-7.83,10.88552,-5.81,PPP1R3C,protein phosphatase 1 regulatory subunit 3C
A_23_P145844,1.65E-06,4.03E-09,7.83,10.884447,2.66,MET,"MET proto-oncogene, receptor tyrosine kinase"
A_23_P49338,1.69E-06,4.15E-09,7.81,10.854464,3.1,TNFRSF12A,TNF receptor superfamily member 12A
A_32_P152195,1.70E-06,4.24E-09,-7.81,10.835516,-4.11,STAC2,SH3 and cysteine rich domain 2
A_24_P213325,1.70E-06,4.26E-09,7.81,10.830199,2.34,,
A_23_P157879,1.72E-06,4.37E-09,-7.8,10.805596,-3.98,FCN1,ficolin 1
A_23_P64808,1.79E-06,4.59E-09,7.78,10.758886,4.2,HOXC13,homeobox C13
A_23_P164436,1.86E-06,4.81E-09,-7.76,10.714603,-4.14,ASPA,aspartoacylase
A_24_P353709,1.91E-06,4.98E-09,-7.75,10.679987,-3.41,B4GALT2,"beta-1,4-galactosyltransferase 2"
A_23_P154786,2.00E-06,5.33E-09,-7.73,10.614616,-3.68,MAP1LC3A,microtubule associated protein 1 light chain 3 alpha
A_23_P204133,2.00E-06,5.35E-09,7.73,10.610841,3.36,GALNT6,polypeptide N-acetylgalactosaminyltransferase 6
A_23_P85201,2.00E-06,5.37E-09,-7.72,10.607302,-4.93,PLP1,proteolipid protein 1
A_24_P168925,2.04E-06,5.53E-09,-7.71,10.57998,-5.98,CHRDL1,chordin like 1
A_23_P361049,2.11E-06,5.76E-09,7.7,10.540374,2.38,MYO1B,myosin IB
A_24_P160466,2.17E-06,5.98E-09,7.69,10.504417,2.74,GPRIN1,G protein regulated inducer of neurite outgrowth 1
A_24_P179504,2.18E-06,6.07E-09,7.68,10.489234,3.86,WDR66,WD repeat domain 66
A_24_P395610,2.23E-06,6.28E-09,-7.67,10.457981,-3.09,GAS7,growth arrest specific 7
A_23_P218369,2.23E-06,6.30E-09,-7.67,10.454555,-6.7,CCL14,C-C motif chemokine ligand 14
A_23_P431388,2.27E-06,6.48E-09,7.66,10.426911,5.33,SPOCD1,SPOC domain containing 1
A_23_P259863,2.27E-06,6.54E-09,-7.66,10.417933,-6.01,CD177,CD177 molecule
A_24_P67063,2.38E-06,6.92E-09,7.64,10.364255,2.31,,
A_23_P397293,2.45E-06,7.18E-09,7.62,10.327986,3.22,LY6K,"lymphocyte antigen 6 complex, locus K"
A_24_P878419,2.45E-06,7.22E-09,7.62,10.32266,2.27,,
A_32_P52076,2.50E-06,7.54E-09,-7.61,10.281156,-4.05,,
A_24_P95723,2.50E-06,7.54E-09,-7.61,10.280915,-5.97,FAM30A,"family with sequence similarity 30, member A"
A_23_P415021,2.50E-06,7.55E-09,-7.61,10.280631,-3.49,METTL7A,methyltransferase like 7A
A_24_P822692,2.54E-06,7.73E-09,-7.6,10.25737,-5.74,CCER2,coiled-coil glutamate rich protein 2
A_23_P152909,2.55E-06,7.83E-09,-7.59,10.245545,-6.5,ALOX12,"arachidonate 12-lipoxygenase, 12S type"
A_23_P149121,2.57E-06,7.96E-09,-7.59,10.228767,-3.61,DIRAS3,DIRAS family GTPase 3
A_23_P130141,2.74E-06,8.54E-09,7.56,10.1617,2.34,DHX33,DEAH-box helicase 33
A_23_P89799,2.76E-06,8.68E-09,-7.56,10.145694,-2.67,ACAA2,acetyl-CoA acyltransferase 2
A_23_P73632,2.76E-06,8.76E-09,-7.55,10.137348,-3.54,NR0B1,nuclear receptor subfamily 0 group B member 1
A_23_P120056,2.87E-06,9.17E-09,7.54,10.093163,1.8,RTKN,rhotekin
A_32_P116113,2.89E-06,9.29E-09,-7.53,10.080822,-3.22,,
A_23_P87346,2.94E-06,9.52E-09,-7.52,10.056997,-3.49,HBD,hemoglobin subunit delta
A_24_P917492,2.97E-06,9.71E-09,-7.52,10.037837,-4.02,TTLL3,tubulin tyrosine ligase like 3
A_23_P103765,2.98E-06,9.84E-09,-7.51,10.025056,-5.19,FCER1A,Fc fragment of IgE receptor Ia
A_23_P214244,2.98E-06,9.92E-09,-7.51,10.01758,-3.56,ENPP5,ectonucleotide pyrophosphatase/phosphodiesterase 5 (putative)
A_24_P274270,2.98E-06,9.97E-09,7.51,10.01288,3.17,STAT1,signal transducer and activator of transcription 1
A_32_P210202,3.04E-06,1.02E-08,7.5,9.98801,2.19,E2F7,E2F transcription factor 7
A_23_P4161,3.11E-06,1.05E-08,-7.49,9.95922,-2.87,ARSG,arylsulfatase G
A_32_P33114,3.19E-06,1.09E-08,-7.48,9.923709,-3.24,KLB,klotho beta
A_23_P259868,3.19E-06,1.10E-08,-7.47,9.91815,-4.66,CD177,CD177 molecule
A_32_P175935,3.19E-06,1.11E-08,-7.47,9.913278,-6.11,,
A_24_P67681,3.22E-06,1.12E-08,7.47,9.897711,2.37,,
A_32_P83098,3.24E-06,1.14E-08,-7.46,9.879581,-4.42,SCNN1B,sodium channel epithelial 1 beta subunit
A_32_P136295,3.24E-06,1.15E-08,-7.46,9.879283,-4.02,GNG7,G protein subunit gamma 7
A_23_P48327,3.26E-06,1.17E-08,-7.45,9.861611,-4.52,KCTD4,potassium channel tetramerization domain containing 4
A_23_P14302,3.26E-06,1.17E-08,-7.45,9.859866,-2.44,LINC00341,long intergenic non-protein coding RNA 341
A_32_P233735,3.26E-06,1.18E-08,7.45,9.854159,3.06,STRIP2,striatin interacting protein 2
A_23_P64539,3.28E-06,1.19E-08,-7.45,9.841543,-6.32,HBG1,hemoglobin subunit gamma 1
A_23_P202448,3.29E-06,1.21E-08,-7.44,9.826262,-5.52,CXCL12,C-X-C motif chemokine ligand 12
A_23_P16834,3.29E-06,1.21E-08,-7.44,9.824644,-3.3,FNDC4,fibronectin type III domain containing 4
A_24_P344961,3.32E-06,1.24E-08,-7.43,9.801622,-4.56,AMOT,angiomotin
A_24_P227141,3.32E-06,1.24E-08,-7.43,9.799033,-6.21,ELF5,E74 like ETS transcription factor 5
A_32_P163894,3.32E-06,1.26E-08,-7.43,9.791028,-3.2,NRG2,neuregulin 2
A_23_P214208,3.32E-06,1.26E-08,-7.43,9.789765,-3.77,CNR1,cannabinoid receptor 1
A_23_P356585,3.50E-06,1.33E-08,-7.41,9.735462,-5.58,HLF,"HLF, PAR bZIP transcription factor"
A_23_P366394,3.51E-06,1.34E-08,7.41,9.726563,2.12,ZAK,sterile alpha motif and leucine zipper containing kinase AZK
A_24_P105102,3.54E-06,1.36E-08,7.4,9.712209,2.61,PKMYT1,"protein kinase, membrane associated tyrosine/threonine 1"
A_24_P209171,3.68E-06,1.43E-08,-7.38,9.666538,-5.11,SH3BGRL2,SH3 domain binding glutamate rich protein like 2
A_23_P252642,3.68E-06,1.44E-08,7.38,9.660577,2.1,BBS5,Bardet-Biedl syndrome 5
A_23_P55251,3.73E-06,1.47E-08,7.37,9.637113,3,ITGA3,integrin subunit alpha 3
A_24_P414205,3.73E-06,1.47E-08,-7.37,9.636558,-3.1,CRYGS,crystallin gamma S
A_24_P171274,3.73E-06,1.49E-08,-7.37,9.628135,-8.62,LOR,loricrin
A_23_P201808,3.73E-06,1.49E-08,-7.37,9.625025,-3.37,PLPP3,phospholipid phosphatase 3
A_32_P45351,3.81E-06,1.53E-08,-7.36,9.597563,-3.28,ZNF471,zinc finger protein 471
A_23_P425925,3.88E-06,1.57E-08,-7.35,9.574511,-3.98,KRT222,keratin 222
A_24_P20814,4.00E-06,1.63E-08,7.34,9.538853,3.35,KHDC1,KH homology domain containing 1
A_23_P150693,4.08E-06,1.68E-08,7.33,9.509149,1.98,FJX1,four jointed box 1
A_23_P390068,4.08E-06,1.68E-08,7.33,9.507899,4.45,MISP,mitotic spindle positioning
A_23_P2271,4.08E-06,1.69E-08,7.33,9.504838,4.28,PTHLH,parathyroid hormone like hormone
A_24_P916965,4.14E-06,1.73E-08,-7.32,9.483631,-4.65,ITGBL1,integrin subunit beta like 1
A_23_P211543,4.25E-06,1.79E-08,-7.31,9.44997,-3.33,MCHR1,melanin concentrating hormone receptor 1
A_23_P29067,4.25E-06,1.79E-08,-7.31,9.448683,-4,TMPRSS2,"transmembrane protease, serine 2"
A_23_P21485,4.49E-06,1.90E-08,-7.28,9.39004,-3.44,PID1,phosphotyrosine interaction domain containing 1
A_23_P81131,4.57E-06,1.95E-08,-7.28,9.367442,-4.31,CORIN,"corin, serine peptidase"
A_24_P650482,4.84E-06,2.08E-08,-7.25,9.305503,-2.17,PCBP1-AS1,PCBP1 antisense RNA 1
A_23_P347040,4.86E-06,2.11E-08,7.25,9.292369,2.03,DTX3L,deltex E3 ubiquitin ligase 3L
A_23_P48835,4.86E-06,2.11E-08,7.25,9.291902,2.26,KIF23,kinesin family member 23
A_23_P149668,5.11E-06,2.23E-08,7.23,9.236555,2.51,KIF14,kinesin family member 14
A_23_P121622,5.16E-06,2.26E-08,-7.22,9.223328,-4.78,SULT1B1,sulfotransferase family 1B member 1
A_23_P137143,5.16E-06,2.28E-08,7.22,9.218073,1.79,DKC1,dyskerin pseudouridine synthase 1
A_32_P154321,5.24E-06,2.33E-08,7.22,9.196303,2.27,,
A_32_P183652,5.27E-06,2.35E-08,-7.21,9.185843,-3.96,SOX14,SRY-box 14
A_24_P17031,5.34E-06,2.40E-08,7.21,9.168349,4.97,,
A_23_P146274,5.36E-06,2.42E-08,-7.2,9.159339,-5.09,STMN2,stathmin 2
A_23_P373017,5.48E-06,2.49E-08,7.19,9.13341,3.2,CCL3,C-C motif chemokine ligand 3
A_23_P56654,5.53E-06,2.52E-08,-7.19,9.118791,-1.63,MCEE,methylmalonyl-CoA epimerase
A_23_P48988,5.60E-06,2.57E-08,-7.18,9.10215,-5,SH3GL3,"SH3 domain containing GRB2 like 3, endophilin A3"
A_24_P226322,5.66E-06,2.61E-08,-7.18,9.086536,-4.49,SH3BGRL2,SH3 domain binding glutamate rich protein like 2
A_23_P213699,5.68E-06,2.64E-08,-7.17,9.075883,-4.97,NRG2,neuregulin 2
A_23_P204885,5.68E-06,2.65E-08,-7.17,9.072886,-3.58,PCDH20,protocadherin 20
A_23_P167367,5.89E-06,2.76E-08,-7.16,9.032159,-3.98,PITX2,paired like homeodomain 2
A_23_P167256,5.89E-06,2.77E-08,-7.16,9.027993,-2.13,JADE1,jade family PHD finger 1
A_32_P44210,6.49E-06,3.07E-08,-7.12,8.928902,-3.33,,
A_23_P76488,6.65E-06,3.16E-08,-7.11,8.900839,-2.37,EMP1,epithelial membrane protein 1
A_32_P164215,7.07E-06,3.38E-08,7.09,8.837412,4.63,HOXC13-AS,HOXC13 antisense RNA
A_23_P151895,7.11E-06,3.42E-08,-7.08,8.826463,-5.39,CILP,cartilage intermediate layer protein
A_23_P152906,7.15E-06,3.45E-08,-7.08,8.815999,-7.5,ALOX12,"arachidonate 12-lipoxygenase, 12S type"
A_23_P426663,7.42E-06,3.60E-08,-7.07,8.776443,-2.15,MITF,melanogenesis associated transcription factor
A_23_P49155,7.48E-06,3.65E-08,7.06,8.763959,2.42,CDH3,cadherin 3
A_23_P819,7.55E-06,3.70E-08,7.06,8.750212,3.37,ISG15,ISG15 ubiquitin-like modifier
A_32_P184888,7.66E-06,3.78E-08,-7.05,8.730389,-2.97,,
A_23_P45324,7.78E-06,3.85E-08,-7.04,8.711271,-3.02,TMEM35A,transmembrane protein 35A
A_23_P904,8.09E-06,4.02E-08,-7.03,8.669026,-4.12,BEND5,BEN domain containing 5
A_32_P11670,8.35E-06,4.17E-08,-7.02,8.633719,-3.6,THSD7A,thrombospondin type 1 domain containing 7A
A_23_P2674,8.40E-06,4.24E-08,-7.01,8.618818,-7.31,KRT4,keratin 4
A_32_P7721,8.40E-06,4.24E-08,-7.01,8.618681,-3.19,RORA,RAR related orphan receptor A
A_24_P284893,8.64E-06,4.38E-08,7,8.586438,1.45,PSMB2,proteasome subunit beta 2
A_24_P303127,8.69E-06,4.43E-08,-6.99,8.576157,-3.6,GAPT,"GRB2-binding adaptor protein, transmembrane"
A_23_P151150,8.93E-06,4.61E-08,6.98,8.537177,2.09,FOXM1,forkhead box M1
A_23_P80551,8.93E-06,4.63E-08,-6.98,8.534789,-3.95,KRBOX1,KRAB box domain containing 1
A_23_P132738,8.93E-06,4.64E-08,-6.98,8.532421,-3.03,CRYGS,crystallin gamma S
A_23_P88331,8.93E-06,4.64E-08,6.98,8.531625,2.31,DLGAP5,DLG associated protein 5
A_23_P126706,8.96E-06,4.68E-08,-6.98,8.52435,-3.87,ANGPTL1,angiopoietin like 1
A_23_P362694,8.97E-06,4.72E-08,-6.97,8.514974,-9.71,FDCSP,follicular dendritic cell secreted protein
A_32_P82863,8.97E-06,4.74E-08,-6.97,8.510536,-3.46,ZNF829,zinc finger protein 829
A_23_P331235,8.97E-06,4.75E-08,6.97,8.509417,3.03,C5orf38,chromosome 5 open reading frame 38
A_23_P251132,9.19E-06,4.89E-08,-6.96,8.481654,-4.07,SNTG2,syntrophin gamma 2
A_32_P76137,9.39E-06,5.02E-08,-6.95,8.456327,-5.68,,
A_23_P218858,9.54E-06,5.12E-08,-6.95,8.437177,-3.79,ABI3BP,ABI family member 3 binding protein
A_32_P151102,9.71E-06,5.23E-08,6.94,8.415496,1.98,MSN,moesin
A_23_P250516,9.74E-06,5.27E-08,6.94,8.408657,3.9,,
A_23_P253734,1.00E-05,5.46E-08,-6.92,8.374151,-2.92,CLN8,"ceroid-lipofuscinosis, neuronal 8"
A_23_P257993,1.02E-05,5.55E-08,-6.92,8.358662,-4.76,DNASE1L3,deoxyribonuclease 1 like 3
A_23_P350617,1.02E-05,5.59E-08,-6.92,8.351479,-3.64,KLB,klotho beta
A_23_P13465,1.04E-05,5.71E-08,-6.91,8.332537,-4.45,ELF5,E74 like ETS transcription factor 5
A_23_P105957,1.04E-05,5.74E-08,6.91,8.326863,2.44,ACTN1,actinin alpha 1
A_23_P121030,1.08E-05,6.03E-08,-6.89,8.279715,-3.72,CPN2,carboxypeptidase N subunit 2
A_24_P851353,1.09E-05,6.09E-08,-6.89,8.269338,-3.59,LOC100506388,uncharacterized LOC100506388
A_23_P111267,1.09E-05,6.09E-08,-6.89,8.269113,-5.35,SH3BGRL2,SH3 domain binding glutamate rich protein like 2
A_23_P253321,1.09E-05,6.12E-08,-6.88,8.265081,-4.75,PNOC,prepronociceptin
A_32_P41080,1.11E-05,6.26E-08,-6.88,8.243598,-3.63,,
A_23_P110764,1.11E-05,6.33E-08,-6.87,8.232441,-4.6,MYOT,myotilin
A_23_P88731,1.13E-05,6.46E-08,6.87,8.21321,2.39,RAD51,RAD51 recombinase
A_23_P15654,1.21E-05,6.95E-08,6.84,8.142736,2.05,TRAF4,TNF receptor associated factor 4
A_32_P120851,1.24E-05,7.14E-08,-6.83,8.115665,-3.79,,
A_24_P926115,1.26E-05,7.28E-08,-6.83,8.097457,-4.84,,
A_23_P501624,1.27E-05,7.37E-08,-6.82,8.08518,-4.78,UGT2B17,UDP glucuronosyltransferase family 2 member B17
A_23_P123234,1.27E-05,7.40E-08,6.82,8.082411,4.71,,
A_23_P140190,1.33E-05,7.81E-08,-6.8,8.030334,-4.9,FAM30A,"family with sequence similarity 30, member A"
A_23_P84860,1.33E-05,7.83E-08,-6.8,8.027759,-3.41,FAM107A,family with sequence similarity 107 member A
A_23_P105651,1.35E-05,7.97E-08,-6.79,8.009863,-4.3,PDZRN4,PDZ domain containing ring finger 4
A_32_P103678,1.35E-05,8.02E-08,-6.79,8.004076,-2.9,,
A_32_P17182,1.35E-05,8.04E-08,6.79,8.002157,2.96,,
A_23_P30294,1.36E-05,8.14E-08,-6.79,7.990178,-3.23,CDO1,cysteine dioxygenase type 1
A_32_P138348,1.38E-05,8.29E-08,6.78,7.971746,3.51,LY6K,"lymphocyte antigen 6 complex, locus K"
A_23_P81590,1.39E-05,8.39E-08,-6.78,7.961035,-4.47,PDE6A,phosphodiesterase 6A
A_24_P791669,1.40E-05,8.44E-08,-6.78,7.954535,-3.46,ZNF879,zinc finger protein 879
A_23_P98399,1.42E-05,8.65E-08,-6.77,7.931784,-5.38,HTR3A,5-hydroxytryptamine receptor 3A
A_23_P393598,1.46E-05,8.88E-08,6.76,7.905568,2.73,CD276,CD276 molecule
A_23_P303286,1.49E-05,9.16E-08,-6.75,7.876116,-7.94,RPTN,repetin
A_23_P216023,1.49E-05,9.18E-08,-6.75,7.874077,-2.79,ANGPT1,angiopoietin 1
A_24_P396702,1.50E-05,9.27E-08,-6.74,7.864079,-2.65,CD302,CD302 molecule
A_23_P130411,1.51E-05,9.36E-08,-6.74,7.855258,-4.86,SERPINB11,serpin family B member 11 (gene/pseudogene)
A_32_P6408,1.52E-05,9.46E-08,-6.74,7.845411,-2.62,ZNF853,zinc finger protein 853
A_23_P157793,1.52E-05,9.48E-08,6.74,7.842537,6.91,CA9,carbonic anhydrase 9
A_23_P23705,1.52E-05,9.55E-08,-6.73,7.835667,-2.99,SPATA6,spermatogenesis associated 6
A_32_P491904,1.55E-05,9.78E-08,-6.73,7.813225,-3.2,,
A_32_P223256,1.55E-05,9.79E-08,6.73,7.811565,3.8,,
